name,league,position,minutes_played,goals,assists,expected_goals,goals_per90,assists_per90,goals_minus_xg
Toni Lato,LaLiga,D,385,0,1,,0.0,0.23376623376623376,
David López,LaLiga,D,459,0,0,0.2953,0.0,0.0,-0.2953
Lucas Bergström,LaLiga,G,450,0,0,,0.0,0.0,
Leo Román,LaLiga,G,1980,0,0,,0.0,0.0,
Etta Eyong,LaLiga,F,1595,6,4,7.3069,0.3385579937304075,0.22570532915360503,-1.3068999999999997
José Luis Morales,LaLiga,F,343,1,1,2.0972,0.26239067055393583,0.26239067055393583,-1.0972
Iván Romero,LaLiga,F,1762,4,1,5.9686,0.2043132803632236,0.0510783200908059,-1.9686000000000003
Carlos Espí,LaLiga,F,412,4,0,1.6078,0.8737864077669902,0.0,2.3922
Kareem Tunde,LaLiga,F,675,0,0,0.4321,0.0,0.0,-0.4321
Paco Cortés,LaLiga,F,366,0,0,0.3487,0.0,0.0,-0.3487
Carlos Álvarez,LaLiga,M,1805,3,1,2.6252,0.14958448753462603,0.04986149584487535,0.3748
Kervin Arriaga,LaLiga,M,1141,1,1,0.2984,0.07887817703768624,0.07887817703768624,0.7016
Tai Abed,LaLiga,M,21,0,0,,0.0,0.0,
Oriol Rey,LaLiga,M,954,0,0,0.3872,0.0,0.0,-0.3872
Iker Losada,LaLiga,M,516,2,0,1.5196,0.3488372093023256,0.0,0.48039999999999994
Ugo Raghouber,LaLiga,M,408,0,0,0.0248,0.0,0.0,-0.0248
Jon Ander Olasagasti,LaLiga,M,900,1,2,0.9245,0.1,0.2,0.07550000000000001
Pablo Martínez,LaLiga,M,1175,1,2,1.7284,0.07659574468085106,0.15319148936170213,-0.7283999999999999
Unai Vencedor,LaLiga,M,818,0,0,,0.0,0.0,
Roger Brugué,LaLiga,M,900,0,1,2.2102,0.0,0.1,-2.2102
Víctor García,LaLiga,M,545,0,1,0.246,0.0,0.1651376146788991,-0.246
Alan Matturro,LaLiga,D,617,1,0,0.2684,0.1458670988654781,0.0,0.7316
Matias Moreno,LaLiga,D,1411,0,0,0.7475,0.0,0.0,-0.7475
Manuel Sánchez,LaLiga,D,1997,1,1,0.6731,0.04506760140210315,0.04506760140210315,0.32689999999999997
Adrián de la Fuente,LaLiga,D,1914,2,1,2.0351,0.09404388714733543,0.047021943573667714,-0.03509999999999991
Jeremy Toljan,LaLiga,D,2250,1,3,0.8093,0.04,0.12,0.19069999999999998
Unai Elgezabal,LaLiga,D,958,1,0,0.668,0.0939457202505219,0.0,0.33199999999999996
Diego Pampín,LaLiga,D,367,0,0,0.2084,0.0,0.0,-0.2084
Mathew Ryan,LaLiga,G,2250,0,0,0.1622,0.0,0.0,-0.1622
Pablo Cuñat,LaLiga,G,180,0,0,,0.0,0.0,
Federico Viñas,LaLiga,F,1525,5,1,5.7702,0.29508196721311475,0.05901639344262295,-0.7702
Thiago Borbas,LaLiga,F,54,0,0,0.3984,0.0,0.0,-0.3984
Álex Forés,LaLiga,F,301,0,1,1.2118,0.0,0.29900332225913623,-1.2118
Santi Cazorla,LaLiga,M,565,0,1,0.1926,0.0,0.1592920353982301,-0.1926
